Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
ΖΕΝΙΘ,2025,1,Power Home Direct Plus,9.9,0.123,9.9,,0.095,Έκπτωση συνέπειας,12,ΔΩΡΟ τα πρώτα 6 πάγια
ΗΡΩΝ,2025,2,Fix Genius Home 3,9.5,0.124,9.5,,0.0992,Συνέπεια,6,ΜΗ ΕΜΠΟΡΙΚΑ ΔΙΑΘΕΣΙΜΟ ΠΡΟΪΟΝ
ΗΡΩΝ,2025,1,Fix Genius Home 3,9.5,0.124,9.5,,0.0992,Συνέπεια,6,ΜΗ ΕΜΠΟΡΙΚΑ ΔΙΑΘΕΣΙΜΟ ΠΡΟΪΟΝ
ΕΛΙΝΟΙΛ,2025,2,Power On! Blue 12M Οικιακό,9.9,0.1249,9.9,,0.1249,,12,
ΕΛΙΝΟΙΛ,2025,1,Power On! Blue 12M Οικιακό,9.9,0.1249,9.9,,0.1249,,12,
PROTERGIA,2025,2,Value Safe More,9.9,0.125,9.9,,0.125,,12,Επιπλέον έκπτωση 10€/ΜWh σε συνδυασμό με πρόγραμμα φυσικού αερίου.
PROTERGIA,2025,1,Value Safe More,9.9,0.125,9.9,,0.125,,12,Επιπλέον έκπτωση 10€/ΜWh σε συνδυασμό με πρόγραμμα φυσικού αερίου.
ΕΛΙΝΟΙΛ,2025,2,Power On! Blue Benefit Οικιακό,7.5,0.125,7.5,,0.125,,12,
ΕΛΙΝΟΙΛ,2025,1,Power On! Blue Benefit Οικιακό,7.5,0.125,7.5,,0.125,,12,
ΔΕΗ,2025,2,myHome4Student,3,0.129,2.9,Πάγια Εντολή,0.12513,Έκπτωση 3% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,12,
ΔΕΗ,2025,1,myHome4Student,3,0.129,2.9,Πάγια Εντολή,0.12513,Έκπτωση 3% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,12,
VOLTON,2025,2,VOLTON BLUE FIXED 6M_JUNE24,9.9,0.133,9.9,,0.0998,Συνέπεια,6,Από 09/07 το προϊόν είναι μη εμπορικά διαθέσιμο
VOLTON,2025,1,VOLTON BLUE FIXED 6M_JUNE24,9.9,0.133,9.9,,0.0998,Συνέπεια,6,Από 09/07 το προϊόν είναι μη εμπορικά διαθέσιμο
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,2,Ρεύμα Blue Friday,9.9,0.139,9.9,,0.089,Συνέπεια,12,Δωδεκάμηνο (12) σταθερό πρόγραμμα.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα Blue Friday,9.9,0.139,9.9,,0.089,Συνέπεια,12,Δωδεκάμηνο (12) σταθερό πρόγραμμα.
ΔΕΗ,2025,2,My Home Online,3.5,0.142,3.5,,0.142,,12,
ΔΕΗ,2025,2,My Home Online,3.5,0.142,3.5,,0.142,,12,"Δώρο 50 € στον 1ο λογαριασμό. Επιπλέον δώρο 50€ μετά την πάροδο χρονικού διαστήματος 180 ημερών από την ημερομηνία σύναψης της σύμβασης, εφόσον διατηρείται ενεργοποιημένη η υπηρεσία myΔΕΗ."
ΔΕΗ,2025,1,My Home Online,3.5,0.142,3.5,,0.142,,12,
ΔΕΗ,2025,1,My Home Online,3.5,0.142,3.5,,0.142,,12,"Έκπτωση 30€ στον λογαριασμό
για νέους πελάτες έως 31.01.2025"
ΔΕΗ,2025,2,My Home Enter,5,0.145,5,Πάγια εντολή,0.145,Έκπτωση 30€ στον λογαριασμό για νέους πελάτες έως 31.01.2025,12,
ΔΕΗ,2025,1,My Home Enter,5,0.145,5,Πάγια εντολή,0.145,Έκπτωση 30€ στον λογαριασμό για νέους πελάτες έως 31.01.2025,12,
ΔΕΗ,2025,2,My Home Enter,5,0.145,4.9,Πάγια Εντολή,0.1421,Έκπτωση 2% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,12,"Δώρο 50 € στον 1ο Λογαριασμό. Επιπλέον δώρο 50€ μετά την πάροδο χρονικού διαστήματος 180 ημερών από την ημερομηνία σύναψης της σύμβασης, εφόσον διατηρείται ενεργοποιημένη η υπηρεσία myΔΕΗ."
ΔΕΗ,2025,1,My Home Enter,5,0.145,4.9,Πάγια Εντολή,0.1421,Έκπτωση 2% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,12,"Έκπτωση 30€ στον λογαριασμό
για νέους πελάτες έως 31.01.2025"
ΗΡΩΝ,2025,2,Home Fix 4,9.5,0.145,9.5,,0.116,Συνέπεια,12,ΜΗ ΕΜΠΟΡΙΚΑ ΔΙΑΘΕΣΙΜΟ ΠΡΟΪΟΝ
ΗΡΩΝ,2025,1,Home Fix 4,9.5,0.145,9.5,,0.116,Συνέπεια,12,ΜΗ ΕΜΠΟΡΙΚΑ ΔΙΑΘΕΣΙΜΟ ΠΡΟΪΟΝ
ΔΕΗ,2025,2,MyHome 4All,5,0.14541,4.9,Πάγια Εντολή,0.14231,2% έκπτωση για πληρωμή μέσω πάγιας εντολής,12,
ΔΕΗ,2025,1,MyHome 4All,5,0.14643,4.9,Πάγια Εντολή,0.14333,Έκπτωση 2% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,12,
ΗΡΩΝ,2025,2,BLUE GENEROUS HOME 3,9.9,0.147,9.9,,0.11025,Συνέπεια (-25%),12,
ΗΡΩΝ,2025,1,BLUE GENEROUS HOME 3,9.9,0.147,9.9,,0.11025,Συνέπεια (-25%),12,
ΕΛΙΝΟΙΛ,2025,2,Power On! Blue Day & Night,5,0.149,5,,0.149,,12,
ΕΛΙΝΟΙΛ,2025,2,Power on! Blue Day,5,0.149,5,,0.149,,12,
ΕΛΙΝΟΙΛ,2025,1,Power On! Blue Day & Night,5,0.149,5,,0.149,,12,
ΕΛΙΝΟΙΛ,2025,1,Power on! Blue Day,5,0.149,5,,0.149,,12,
PROTERGIA,2025,2,Value Swift OnTime,5,0.1509,5,,0.09093,Συνέπεια,12,
PROTERGIA,2025,1,Value Swift OnTime,5,0.1509,5,,0.09093,Συνέπεια,12,
NRG,2025,2,nrg fixed on time,9.9,0.154,9.9,,0.1078,Έκπτωση Συνέπειας 30%,12,
ΔΕΗ,2025,1,Ειδικό,5,0.15475,5,,0.15475,,Αορίστου Διάρκειας,
ΔΕΗ,2025,2,Ειδικό,5,0.1548,5,,0.1548,,Αορίστου Διάρκειας,
ELPEDISON,2025,2,Ειδικό,5,0.1585,5,,0.1585,Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,
ELPEDISON,2025,1,Ειδικό,5,0.1585,5,,0.1585,Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,
NRG,2025,2,nrg fixed 4U,5,0.159,3.5,ebill & πάγια εντολή,0.15105,nrg Total (συνδυασμός με αέριο),12,
NRG,2025,1,nrg fixed 4U,5,0.159,3.5,ebill & πάγια εντολή,0.15105,nrg Total (συνδυασμός με αέριο),12,
VOLTERRA,2025,2,New Yellow για το Σπίτι,4.5,0.159,4.5,,0.159,,12,
VOLTERRA,2025,2,Ειδικό,4.5,0.159,4.5,,0.159,,Αορίστου Διάρκειας,
VOLTERRA,2025,1,Ειδικό,4.5,0.159,4.5,,0.159,,Αορίστου Διάρκειας,
VOLTERRA,2025,1,New Yellow για το Σπίτι,4.5,0.159,4.5,,0.159,,12,
EUNICE,2025,2,EUNICE Home Fair II,4,0.16,4,,0.16,,12,
EUNICE,2025,1,EUNICE Home Fair II,4,0.16,4,,0.16,,12,
EUNICE,2025,2,Eunice Home Fair (πρωην we yellow),4,0.16,4,,0.145,Συνέπεια,12,ΜΗ εμπορικά διαθέσιμο από 22/11/2024.
EUNICE,2025,1,Eunice Home Fair (πρωην we yellow),4,0.16,4,,0.145,Συνέπεια,12,ΜΗ εμπορικά διαθέσιμο από 22/11/2024.
VOLTON,2025,2,Volton Blue 6M,18,0.16,9.9,Έκπτωση συνέπειας 45%,0.088,Έκπτωση συνέπειας 45%,6,Από 17/01/2025 μη εμπορικά διαθέσιμο.
VOLTON,2025,1,Volton Blue 6M,18,0.16,9.9,Έκπτωση συνέπειας 45%,0.088,Έκπτωση συνέπειας 45%,6,Από 17/01/2025 μη εμπορικά διαθέσιμο.
ΗΡΩΝ,2025,2,FIX GENIUS HOME 4,9.5,0.16,9.5,,0.128,Συνέπεια,6,Μή εμπορικά διαθέσιμο προϊόν
ΗΡΩΝ,2025,1,FIX GENIUS HOME 4,9.5,0.16,9.5,,0.128,Συνέπεια,6,Μή εμπορικά διαθέσιμο προϊόν
PROTERGIA,2025,1,Value Fair,5,0.1602,5,,0.1602,,12,
ΔΕΗ,2025,2,Ειδικό,5,0.16246,5,,0.16246,,Αορίστου Διάρκειας,
ΔΕΗ,2025,1,Ειδικό,5,0.16399,5,,0.16399,,Αορίστου Διάρκειας,"Σε περίπτωση υπέρβασης της κατανάλωσης πλέον των 500 kWh, τότε η χρεώση είναι με τιμή 0,16399 €/kWh από την 1η καταναλισκόμενη kWh"
PROTERGIA,2025,2,Οικιακό Value Safe (μη εμπορικά διαθέσιμο),3.5,0.165,3.5,,0.165,,12,
PROTERGIA,2025,1,Οικιακό Value Safe (μη εμπορικά διαθέσιμο),3.5,0.165,3.5,,0.165,,12,
ΗΡΩΝ,2025,2,HOME FIX 5,9.5,0.167,9.5,,0.1336,Συνέπεια,12,
ΗΡΩΝ,2025,1,HOME FIX 5,9.5,0.167,9.5,,0.1336,Συνέπεια,12,
OTE ESTATE,2025,2,Ειδικό,5,0.16795,5,,0.16795,,Αορίστου Διάρκειας,
OTE ESTATE,2025,1,Ειδικό,5,0.1683,5,,0.1683,,Αορίστου Διάρκειας,
ELPEDISON,2025,2,ELPEDISON Bright,3,0.169,3,,0.169,,12,Από 10/04 το προϊόν είναι μη εμπορικά διαθέσιμο. Η διάρκεια σύμβασης συμφωνείται έως 31/12/2024.
ELPEDISON,2025,1,ELPEDISON Bright,3,0.169,3,,0.169,,12,Από 10/04 το προϊόν είναι μη εμπορικά διαθέσιμο. Η διάρκεια σύμβασης συμφωνείται έως 31/12/2024.
PROTERGIA,2025,2,Value Secure 12 Μήνες,9.9,0.169,9.9,,0.099,Συνέπεια,12,
PROTERGIA,2025,1,Value Secure 12 Μήνες,9.9,0.169,9.9,,0.099,Συνέπεια,12,
ΖΕΝΙΘ,2025,1,Power Home Go Electric Plus,5,0.16901,4,Έκπτωση Dual Energy,0.16901,Νυχτερινό,12,"-H τιμή Ιανουαρίου 2025 θα ανακοινωθεί τον Φεβρουάριο του 2025.
-Το προϊόν αφορά οικιακούς καταναλωτές με οικιακή φόρτιση
ηλεκτρικών οχημάτων."
PROTERGIA,2025,1,Value Simple,5,0.17318,5,,0.1596,Οριζόντια έκπτωση χωρίς προυπόθεση,12,Μη εμπορικά διαθέσιμο από 04/07/2024
VOLTON,2025,2,VOLTON BLUE FIXED,5.9,0.175,5.9,,0.1575,Συνέπεια,12,Από 02/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2025,1,VOLTON BLUE FIXED,5.9,0.175,5.9,,0.1575,Συνέπεια,12,Από 02/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
ΗΡΩΝ,2025,2,FIX GENIUS HOME 5,9.5,0.177,9.5,,0.1416,Συνέπεια,6,
ΗΡΩΝ,2025,1,FIX GENIUS HOME 5,9.5,0.177,9.5,,0.1416,Συνέπεια,6,
ΖΕΝΙΘ,2025,1,Power Home Smart Night,5,0.17743,5,,0.15069,Νυχτερινό & 10% Έκπτωση Dual Energy και Συνέπειας,12,
PROTERGIA,2025,2,Value Simple,5,0.17945,5,,0.1696,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,Μη εμπορικά διαθέσιμο
VOLTON,2025,2,VOLTON BLUE FIXED 6M_03,9.9,0.18,9.9,,0.144,Συνέπεια,6,Από 06/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2025,1,VOLTON BLUE FIXED 6M_03,9.9,0.18,9.9,,0.144,Συνέπεια,6,Από 06/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2025,2,VOLTON YELLOW FLAT,18,0.18,9.9,Έκπτωση συνέπειας 45%,0.099,Έκπτωση συνέπειας 45%,12,Για τις πρώτες 180 ημερολογιακές ημέρες της διάρκειας ισχύος της Σύμβασης η Χρέωση Προμήθειας είναι σταθερή. Μετά την πάροδο των 180 ημερολογιακών ημερών η Χρέωση Προμήθειας καθίσταται Κυμαινόμενη.
VOLTON,2025,1,VOLTON YELLOW FLAT,18,0.18,9.9,Έκπτωση συνέπειας 45%,0.099,Έκπτωση συνέπειας 45%,12,Για τις πρώτες 180 ημερολογιακές ημέρες της διάρκειας ισχύος της Σύμβασης η Χρέωση Προμήθειας είναι σταθερή. Μετά την πάροδο των 180 ημερολογιακών ημερών η Χρέωση Προμήθειας καθίσταται Κυμαινόμενη.
ΔΕΗ,2025,2,MyHome 4All,5,0.18114,4.9,Πάγια Εντολή,0.17692,2% έκπτωση για πληρωμή μέσω πάγιας εντολής,12,
PROTERGIA,2025,2,Value Fair,5,0.18173,5,,0.1696,Οριζόντια έκπτωση χωρίς προυπόθεση,12,Μη εμπορικά διαθέσιμο
EUNICE,2025,1,Eunice Flow,2.75,0.18255,2.75,,0.17005,ΣΥΝΕΠΕΙΑ,12,
ΕΛΙΝΟΙΛ,2025,1,Ειδικό,5,0.18308,5,,0.18308,,12,
ΖΕΝΙΘ,2025,1,Power Home Choice,1,0.18401,1,,0.18401,,12,H τιμή Ιανουαρίου 2025 θα ανακοινωθεί μέσα Φεβρουαρίου 2025.
ΖΕΝΙΘ,2025,1,Power Home Special,5,0.18401,5,,0.01701,Νυχτερινό,12,
EUNICE,2025,1,Eunice Βασικός Tιμοκατάλογος,2,0.18505,2,,0.18505,,12,
PROTERGIA,2025,1,Value Swift,5,0.18818,5,,0.1596,Οριζόντια έκπτωση χωρίς προυπόθεση,12,
PROTERGIA,2025,1,Value Easy,5,0.18818,5,,0.1596,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,ΜΗ εμπορικά διαθέσιμο από 2/12/2024.
EUNICE,2025,1,Ειδικό,5,0.18846,5,,0.18846,,Αορίστου Διάρκειας,
NRG,2025,2,nrg fixed 4U 12 μήνες,9.9,0.189,9.9,,0.189,,12,
NRG,2025,1,nrg fixed 4U 12 μήνες,9.9,0.189,9.9,,0.189,,12,
VOLTON,2025,2,VOLTON BLUE SMART,0,0.189,0,,0.189,,12,Από 09/07 το προϊόν είναι μη εμπορικά διαθέσιμο. Διατίθετο με διαφορετικές εμπορικές πολιτικές με βάση την κατανάλωση.
VOLTON,2025,1,VOLTON BLUE SMART,0,0.189,0,,0.189,,12,Από 09/07 το προϊόν είναι μη εμπορικά διαθέσιμο. Διατίθετο με διαφορετικές εμπορικές πολιτικές με βάση την κατανάλωση.
ΖΕΝΙΘ,2025,2,Power Home Fixed SE,5,0.189,5,,0.16,Συνέπεια,12,Μη εμπορικά διαθέσιμο από 22.11.2024
ΖΕΝΙΘ,2025,1,Power Home Fixed SE,5,0.189,5,,0.16,Συνέπεια,12,Μη εμπορικά διαθέσιμο από 22.11.2024
EUNICE,2025,1,Eunice Simple (KOT),3,0.19005,3,,0.19005,,12,
ΔΕΗ,2025,1,MyHome 4All,5,0.19011,4.9,,0.18589,,12,
PROTERGIA,2025,2,Value Swift,5,0.19445,5,,0.1696,Οριζόντια έκπτωση χωρίς προυπόθεση,12,Μη εμπορικά διαθέσιμο
PROTERGIA,2025,2,Value Easy,5,0.19445,5,,0.1696,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,ΜΗ εμπορικά διαθέσιμο από 2/12/2024.
ΗΡΩΝ,2025,1,YELLOW ONE HOME,5,0.19537,5,,0.17197,ΣΥΝΕΠΕΙΑ,12,
VOLTON,2025,2,Volton Blue 12M,18,0.198,9.9,Έκπτωση συνέπειας 45%,0.1089,Έκπτωση συνέπειας 45%,12,
VOLTON,2025,1,Volton Blue 12M,18,0.198,9.9,Έκπτωση συνέπειας 45%,0.1089,Έκπτωση συνέπειας 45%,12,
PROTERGIA,2025,1,Value Lite,1,0.19818,1,,0.1696,Οριζόντια έκπτωση χωρίς προυπόθεση,12,
VOLTON,2025,2,VOLTON BLUE FIXED 6M_04,11.9,0.199,11.9,,0.1592,Συνέπεια,6,Από 20/12 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2025,1,VOLTON BLUE FIXED 6M_04,11.9,0.199,11.9,,0.1592,Συνέπεια,6,Από 20/12 το προϊόν είναι μη εμπορικά διαθέσιμο.
ΖΕΝΙΘ,2025,2,Power Home Direct,7,0.199,7,,0.129,Συνέπεια,12,Μη εμπορικά διαθέσιμο από 22.11.2024
ΖΕΝΙΘ,2025,1,Power Home Direct,7,0.199,7,,0.129,Συνέπεια,12,Μη εμπορικά διαθέσιμο από 22.11.2024
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,2,Home Fixed,9.9,0.199,9.9,,0.199,,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Home Fixed,9.9,0.199,9.9,,0.199,,12,
ΖΕΝΙΘ,2025,1,Ειδικό,5,0.19944,5,,0.19944,,12,
PROTERGIA,2025,2,Helios Value,0,0.20135,0,,0.1796,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,"100% έκπτωση στη χρέωση ενέργειας του ανταγωνιστικού σκέλους, για τις πρώτες 1.000kWh/έτος που τυχόν καταναλωθούν εκτός ενεργειακού συμψηφισμού"
NRG,2025,1,Ειδικό,5,0.2015,3.5,ebill & πάγια εντολή,0.1695,συνέπεια,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,MAXI Home,5,0.2018,5,,0.1958,,24,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύµα MAXI Home 10,5,0.2018,5,,0.1918,Έκπτωση συνέπειας,24,
